"taxon","n_species","collessI","sackinI","gamma","temp_mean","temp_sd","temp_skewness","temp_kurtosis","bs_mean","bs_sd","bs_skewness","bs_kurtosis","rs_mean","rs_sd","rs_skewness","rs_kutosis","bodysize_MRDa_cor","bodysize_MRDn_cor","bodysize_ED_cor","bodysize_ES_cor","bodysize_DivRate_cor","temp_MRDa_cor","temp_MRDn_cor","temp_ED_cor","temp_ES_cor","temp_DivRate_cor","temp_max_MRDa_cor","temp_max_MRDn_cor","temp_max_ED_cor","temp_max_ES_cor","temp_max_DivRate_cor","rangesize_MRDa_cor","rangesize_MRDn_cor","rangesize_ED_cor","rangesize_ES_cor","rangesize_DivRate_cor","bodysize_temp_cor","bodysize_tempmax_cor","bodysize_rangesize_cor","rangesize_temp_cor","rangesize_tempmax_cor","bodysize_MRDa_cor_p","bodysize_MRDn_cor_p","bodysize_ED_cor_p","bodysize_ES_cor_p","bodysize_DivRate_cor_p","temp_MRDa_cor_p","temp_MRDn_cor_p","temp_ED_cor_p","temp_ES_cor_p","temp_DivRate_cor_p","temp_max_MRDa_cor_p","temp_max_MRDn_cor_p","temp_max_ED_cor_p","temp_max_ES_cor_p","temp_max_DivRate_cor_p","rangesize_MRDa_cor_p","rangesize_MRDn_cor_p","rangesize_ED_cor_p","rangesize_ES_cor_p","rangesize_DivRate_cor_p","bodysize_temp_cor_p","bodysize_tempmax_cor_p","bodysize_rangesize_cor_p","rangesize_temp_cor_p","rangesize_tempmax_cor_p","richness_mean","richness_max","richness_median","richness_sd","richness_skewness","richness_kurtosis","richness_lat_cor","richness_temp0mya_cor","lat_pd_cor","lat_mpd_cor","lat_mntd_cor","temp_pd_cor","temp_mpd_cor","temp_mntd_cor","richness_pd_cor","richness_mpd_cor","richness_mntd_cor","lat_pd_cor_p","lat_mpd_cor_p","lat_mntd_cor_p","temp_pd_cor_p","temp_mpd_cor_p","temp_mntd_cor_p","richness_pd_cor_p","richness_mpd_cor_p","richness_mntd_cor_p","lat_bsm_cor","lat_bssd_cor","temp_bsm_cor","temp_bssd_cor","richness_bsm_cor","richness_bssd_cor","pd_bsm_cor","mpd_bsm_cor","mntd_bsm_cor","pd_bssd_cor","mpd_bssd_cor","mntd_bssd_cor","lat_bsm_cor_p","lat_bssd_cor_p","temp_bsm_cor_p","temp_bssd_cor_p","richness_bsm_cor_p","richness_bssd_cor_p","pd_bsm_cor_p","mpd_bsm_cor_p","mntd_bsm_cor_p","pd_bssd_cor_p","mpd_bssd_cor_p","mntd_bssd_cor_p","class"
"squamate_clade_1",2426,4.03331007207034,3.67716873524304,-1.52817046381387,225.335538967488,44.7808830289595,-1.60837358088466,6.05955734386803,225.42676284219,1058.47756055711,33.0209954612027,1328.31517737945,83.9258037922506,182.59158938262,3.66100812897559,18.6459341107088,-0.0815433459351822,-0.0815433459351822,0.139241917281679,0.116068322486887,-0.116068322486887,-0.0911823674756028,-0.0911823674756028,-0.0106753123151506,-0.0168906385181376,0.0168906385181376,-0.0914984568851281,-0.0914984568851281,0.0575354628888159,0.0572094896791229,-0.0572094896791229,-0.0820018715164617,-0.0820018715164617,0.150429863521667,0.145278790593358,-0.145278790593358,-0.11107710202593,0.196094519892374,0.421185453302823,-0.212983458268716,0.436157910245105,5.79517307448793e-05,5.79517307448793e-05,5.64517374098896e-12,9.84831267539064e-09,9.84831267539064e-09,6.85328858686077e-06,6.85328858686077e-06,0.599200534465659,0.405651970525237,0.405651970525237,6.36601379262589e-06,6.36601379262589e-06,0.00458594156545433,0.00482218893899725,0.00482218893899725,5.26173399711231e-05,5.26173399711231e-05,9.48100539263744e-14,6.47372939089999e-13,6.47372939089999e-13,4.12996901444013e-08,1.87512605310586e-22,6.23506023302886e-105,2.76786939836356e-26,3.17078437745348e-113,15.1886589212895,96,5,22.4357387593643,1.7729640135124,5.19727724153742,-0.772843955291573,0.691237949823045,0.616873870322485,0.567257640548795,0.622535494150357,-0.551484030157267,-0.525485097024232,-0.564966600742099,-0.81578798670161,-0.805837613088163,-0.8083709027357,0,0,0,0,0,0,0,0,0,0.119112944309255,-0.152171260215652,-0.0221674481479291,0.0963168692528414,-0.0931889618035167,0.278567835940225,0.299900804147234,0.333885130446576,0.241392295409087,0.0759043207225089,0.148837774818136,0.0605007256923409,1.76296171574222e-27,5.71912277473529e-44,0.0439699659986532,1.75943468346928e-18,2.14611324549609e-17,4.8390353323327e-147,3.20724490859504e-171,3.30531806436383e-214,8.46677261902658e-110,4.9635468794735e-12,4.04972442315636e-42,3.75244790820034e-08,"squamate"
"squamate_clade_2",325,3.87610477283409,3.38111428290675,-4.06800599883764,207.386833247378,63.0034212116556,-1.42169182229072,4.86656895187326,995.296933264923,2722.47489429256,7.40408186829384,66.1740253934732,75.1907692307692,175.160439438132,3.95924473246417,21.8383091338655,0.26712170577032,0.26712170577032,-0.100112431282437,-0.0771341542774541,0.0771341542774541,-0.00546822110404072,-0.00546822110404072,0.160267484628077,0.157807697162919,-0.157807697162919,0.0431544313524598,0.0431544313524598,0.16689076625033,0.165972752065689,-0.165972752065689,-0.00182813514728488,-0.00182813514728488,0.0345258977812269,0.0467007678828368,-0.0467007678828368,0.049372009196796,0.279858702331714,0.361831799023187,-0.0853727783509417,0.439433463560854,1.02841827267081e-06,1.02841827267081e-06,0.0714857683192871,0.165360809986594,0.165360809986594,0.921772953392256,0.921772953392256,0.00376894957367346,0.00434659184830435,0.00434659184830435,0.438138003564224,0.438138003564224,0.00254223010536141,0.0026871322513496,0.0026871322513496,0.973809979797585,0.973809979797585,0.535118731924264,0.401399652573966,0.401399652573966,0.374982905493259,2.9186308052604e-07,1.72983518546477e-11,0.124549415049472,8.91094772144886e-17,1.83211510348542,11,1,2.19984321812929,1.36855781746575,4.35254745514132,-0.584836026189552,0.512596896284761,0.319997109098032,0.308210595771009,0.3070181112598,-0.249221944812556,-0.244170005029846,-0.239158132345568,-0.614346060936463,-0.606953390308905,-0.610865084894832,3.17102649506356e-307,5.00544580965737e-284,9.72154247214737e-282,3.16382196156983e-183,9.96758250846483e-176,1.84982234571256e-168,0,0,0,-0.520471892728159,-0.582115657929937,0.281293851037779,0.37454278031145,0.460457906705727,0.448376937611362,-0.208497324739686,-0.201439791340442,-0.0584013446065865,-0.195554424597417,-0.184277306830949,-0.0509240024841098,0,0,2.31675913708287e-108,5.10537085590371e-197,2.2999689458552e-309,1.58797723573036e-291,2.72548801590416e-59,2.19348441090541e-55,6.72937461176479e-06,3.07283512342506e-52,1.73079830538101e-46,8.67831163520101e-05,"squamate"
"squamate_clade_3",17,0.400365235327258,0.179718484130249,-0.931266782650453,230.946946459756,24.6610147723256,-1.88174960263208,6.85437723981532,67.4042476541176,24.8850353381984,0.367921652458227,2.7622624525288,74.5294117647059,79.1526354954928,1.01848508272009,3.09653845445733,-0.0130524949031904,-0.0130524949031904,-0.136615617427996,0.0209231125790625,-0.0209231125790625,-0.665268723767678,-0.665268723767678,0.258918372627958,0.278598628979727,-0.278598628979727,-0.204866954253454,-0.204866954253454,0.649198520345253,0.592478421701603,-0.592478421701603,-0.241606012918967,-0.241606012918967,0.505548705302096,0.290998766954377,-0.290998766954377,0.169429129529794,0.0898463069571506,-0.306462060716856,0.28597872511164,0.707151664611591,0.960346089703929,0.960346089703929,0.601087004522831,0.936471698837133,0.936471698837133,0.00356408555567067,0.00356408555567067,0.315628691020893,0.27888962617441,0.27888962617441,0.430246905502183,0.430246905502183,0.00480300697782048,0.0122051054886774,0.0122051054886774,0.350183415199645,0.350183415199645,0.0384316184176188,0.257143086865418,0.257143086865418,0.515633979460028,0.731655919499695,0.231546285962583,0.265816014704665,0.00150026705436758,0.0876356082172809,7,0,0.568024488198914,7.8412604768178,70.075364522451,-0.161598721616486,0.137483782962786,0.00846548150297299,-0.018174240053622,0.136761088077623,-0.0204143075510218,-0.00397344358629759,-0.112434846637711,-0.335573899583392,-0.238584498609196,-0.782010385639506,0.334531545790462,0.0382733778342825,2.68654920620486e-55,0.0199472157641068,0.650586031185012,7.79405240360235e-38,0,1.22542203550572e-167,0,-0.52777053226106,-0.637290779203715,0.00819519875105561,0.214713237319358,0.76265057225785,0.685380944818578,0.43064798840373,0.527935524883996,-0.122343719045278,0.456440805238701,0.526663774338368,-0.00384370623249333,2.4110349234819e-23,2.84307260452088e-36,0.886469372684979,0.000153825400114845,1.79092198358606e-59,8.79139753104545e-44,3.01212170955552e-15,2.32343880581343e-23,0.0324012403098145,3.74591197855887e-17,3.08878781492537e-23,0.946611584391796,"squamate"
"squamate_clade_4",18,-0.885551348447331,-0.545771711948183,-0.118901836947098,233.307128823983,24.1848841257468,-0.827713581577668,2.25253042648022,38.2805178663889,31.0699537530616,0.991485674474768,2.79576361118099,21.3333333333333,41.6271969920119,2.1147801444818,5.90807480093394,-0.133801293196942,-0.133801293196942,0.414812369353602,0.241844415091301,-0.241844415091301,-0.0353722757596975,-0.0353722757596975,-0.0917100415262477,-0.0108808523844701,0.0108808523844701,-0.187745155955317,-0.187745155955317,0.033678828809074,0.158031427488732,-0.158031427488732,-0.0555111324995983,-0.0555111324995983,-0.0507603287762656,0.00261651179259101,-0.00261651179259101,-0.0852713292165047,0.0108527146275551,0.0652436380929866,0.0146221296373567,0.592196250312947,0.59659236687275,0.59659236687275,0.0869582089479017,0.333617533007097,0.333617533007097,0.889180879251899,0.889180879251899,0.717409221200708,0.965820826831384,0.965820826831384,0.455653095956197,0.455653095956197,0.894457592838119,0.53112341454057,0.53112341454057,0.826826213721578,0.826826213721578,0.841460942587821,0.991778816198687,0.991778816198687,0.736556578109382,0.965909165135841,0.797019255540039,0.954078866821834,0.00961452189402453,0.0258521197199354,3,0,0.185524488351935,8.18326103143365,78.7251135994133,-0.118939391967011,0.0786530446878912,0.0569511633874571,0.0569511633874571,0.0569511633874571,-0.0364892256285463,-0.0364892256285463,-0.0364892256285463,-0.443798785121026,-0.443798785121026,-0.443798785121026,8.17572436250087e-11,8.17572436250087e-11,8.17572436250087e-11,3.16971958489975e-05,3.16971958489975e-05,3.16971958489975e-05,0,0,0,-0.81232018038589,-0.858590816437495,0.817483997270296,0.845032849521017,-0.249025509280251,-0.2544985973963,-0.357986309207088,-0.357986309207088,-0.357986309207088,-0.352951460043031,-0.352951460043031,-0.352951460043031,8.93374625342157e-14,1.03857393652146e-16,4.62938894419989e-14,9.42213965957942e-16,0.0693916198312059,0.0632935950393661,0.0078649723875026,0.0078649723875026,0.0078649723875026,0.0088497368648905,0.0088497368648905,0.0088497368648905,"squamate"
"squamate_clade_5",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"squamate"
"squamate_clade_8",57,2.24514368242732,1.82818046768702,0.0315323357723578,223.89441924208,49.4906822604916,-1.59958606841909,4.83553819501343,9978.45960201947,45810.0027799778,7.05610368052608,52.0869616393213,158.175438596491,276.864531263358,2.16727320387102,7.02571982183107,0.265685379774568,0.265685379774568,-0.214422360296521,-0.160500632612699,0.160500632612699,0.385100008626336,0.385100008626336,-0.376444664491337,-0.309143672114139,0.309143672114139,0.145542106086277,0.145542106086277,-0.114575733254162,-0.0857777567102346,0.0857777567102346,-0.0333448525015911,-0.0333448525015911,0.0474026354040718,0.0524675745294384,-0.0524675745294384,-0.00204223871505287,-0.155314149207218,0.120722787292611,-0.4685552687813,0.358450061994828,0.0457709258890396,0.0457709258890396,0.109226587231093,0.233003404275106,0.233003404275106,0.00309608719843687,0.00309608719843687,0.00390024897653478,0.0192883274625727,0.0192883274625727,0.280035582255959,0.280035582255959,0.396068701842542,0.525799366994882,0.525799366994882,0.805497090685006,0.805497090685006,0.726225939420907,0.6983026261137,0.6983026261137,0.987970766524411,0.248650042932255,0.371042557322144,0.000236989623299335,0.00618309122882137,0.680464722628299,8,0,1.47972784324675,2.5854856530688,8.98679220548397,-0.467422364791081,0.471520961169136,0.318005746262566,0.32111822240618,0.311884837462814,-0.287518120235788,-0.289689283687205,-0.28505494328412,-0.728680009416024,-0.730380457545528,-0.726060399352219,3.12745841683638e-303,1.73449494537354e-309,3.81336849977742e-291,8.05968886421763e-246,1.11017317273007e-249,1.75840906809384e-241,0,0,0,-0.642682999556609,-0.581912961689473,0.359401993957279,0.181789230208932,0.553130975928311,0.596354871367646,0.372963482718657,0.246823431794514,0.621101384301314,0.305819027096354,0.181620027145151,0.621564738333315,2.85428054917918e-207,2.69389923153827e-161,3.17321277304686e-55,1.2028561254409e-14,1.01001604411545e-142,2.45546211415408e-171,1.17975328912106e-59,4.95816702086706e-26,8.85740451799542e-190,1.01622470289947e-39,1.27371884521176e-14,3.85575393477768e-190,"squamate"
"squamate_clade_9",108,0.751814791131165,0.662803530784772,-0.142669158061885,252.881398421729,21.2901046874514,-1.71433359604898,8.35394455719821,10198.1383571407,36175.2883482335,4.89375377333662,27.6703423886492,51.5,133.716781183565,3.67770297576231,18.4739132972296,0.124412227309902,0.124412227309902,-0.098535112239455,-0.0894727692845243,0.0894727692845243,-0.00367834920302955,-0.00367834920302955,-0.000860996354192871,-0.0015717357269061,0.0015717357269061,-0.00591036832919612,-0.00591036832919612,-0.00438928134143191,-0.00833223554265295,0.00833223554265295,-0.0274718453285075,-0.0274718453285075,0.115630678419509,0.113104609560873,-0.113104609560873,-0.566790987095124,0.0577032876606155,0.611790633858844,-0.453836769376836,0.338043532972707,0.199535649465126,0.199535649465126,0.310314240012723,0.357124947986544,0.357124947986544,0.969861624270301,0.969861624270301,0.992943904307439,0.987119590839499,0.987119590839499,0.951591639530757,0.951591639530757,0.964040210665131,0.931796307952784,0.931796307952784,0.777769469924899,0.777769469924899,0.233383431022173,0.243822951737418,0.243822951737418,1.61164681088058e-10,0.553056099054622,2.0092355258959e-12,8.09929998113008e-07,0.000346089054032758,0.404247133953989,14,0,0.993131442166313,3.08199253880074,14.923429258791,-0.478401420141196,0.429388379887165,0.17150853097855,0.172738574490592,0.179239455152345,-0.171594674813447,-0.172834202010421,-0.179059748758579,-0.416674736104327,-0.419133548802501,-0.431432012405904,2.28983758427466e-86,1.33463909221378e-87,2.79340809633475e-94,1.87782954196108e-86,1.06906501592091e-87,4.30810676540534e-94,0,0,0,-0.455586783880364,-0.35597425907751,0.0485761610310683,0.104434840313918,-0.134708671228774,-0.089569374848989,0.76368009529667,0.766001445712939,0.785039439632319,0.810006332627593,0.801227583628615,0.816306312849427,6.21977845331349e-73,3.12472871695884e-43,0.0687209029143166,8.78863929020615e-05,4.02120974255026e-07,0.000776249115914846,6.59421918731674e-269,1.62612325123405e-271,4.11037249598763e-294,0,3.1811721928925e-315,0,"squamate"
"squamate_clade_10",33,1.84629774478482,1.53500859053771,1.72869397803454,246.255105169138,18.2243540345392,-2.10766625865107,7.27286714587503,47.586595174303,78.0589782597851,3.30593534308602,12.7490142594957,22.5151515151515,112.502255869638,5.47432612338012,30.990318065345,-0.101348781849242,-0.101348781849242,0.125773584704577,0.123097550987459,-0.123097550987459,-0.0286652929256547,-0.0286652929256547,0.0341645057124216,0.0679093000524546,-0.0679093000524546,-0.0647128254825431,-0.0647128254825431,0.102753357255053,0.122325425303634,-0.122325425303634,0.0656941680207569,0.0656941680207569,0.00542443547786234,-0.016273306433587,0.016273306433587,0.149460093280364,0.317443080220747,0.133749173127675,-0.0442251527088473,0.275673981069877,0.574658529610726,0.574658529610726,0.485532149995279,0.494936688027912,0.494936688027912,0.874179032978554,0.874179032978554,0.850290670265459,0.707287725302639,0.707287725302639,0.72050173154484,0.72050173154484,0.569340666665826,0.497667304975082,0.497667304975082,0.716436274061092,0.716436274061092,0.976099228149658,0.928379178016718,0.928379178016718,0.406451077401189,0.0718382807660179,0.45805781137973,0.806938330373415,0.120464262362192,0.0543202277448642,6,0,0.238565838977296,5.61854272354438,62.0860196558468,-0.327127141182547,0.241655291542571,0.00102031812324985,0.00102024578132733,0.00102031812324985,-0.0117750310936038,-0.0117750234160663,-0.0117750310936038,-0.0391854236534757,-0.0391854255094066,-0.039185423189493,0.907407190587528,0.907413725998328,0.907407190587528,0.179491416577966,0.179491700255411,0.179491416577966,7.87344357383041e-06,7.8734357789659e-06,7.87344552254773e-06,-0.683550388590068,-0.784817112825633,0.092436974789916,-0.100840336134454,-0.248755496770252,-0.248755496770252,-0.0588235294117647,0.0420168067226891,-0.0756302521008403,0.210084033613445,0.277310924369748,0.176470588235294,0.0423506016211632,0.0122414593670293,0.813024658804243,0.796302609265694,0.518648857414447,0.518648857414447,0.880510695079613,0.914529890946692,0.84665983133416,0.58745018709711,0.470028975070735,0.649696472356561,"squamate"
"squamate_clade_11",10,-0.100145570420244,0.0511544011544009,-0.73400643137986,229.41566200848,20.7285222071085,-0.808993769288864,2.63913592671382,11.7087269935,8.56200415421919,0.337892631972786,1.35132980879751,74.5,124.170357886968,1.52528891666946,4.07898421055051,0.339835571252062,0.339835571252062,-0.324172664176095,-0.324172664176095,0.324172664176095,0.0832250378576479,0.0832250378576479,-0.0795140497035705,-0.0795140497035705,0.0795140497035705,-0.513221066788829,-0.513221066788829,0.103979911150823,0.128445772598075,-0.128445772598075,-0.464673128038534,-0.464673128038534,0.0917469804271967,0.0917469804271967,-0.0917469804271967,-0.442424242424242,0.0545454545454545,0.0666666666666667,-0.272727272727273,0.866666666666667,0.336677095646173,0.336677095646173,0.360811878181545,0.360811878181545,0.360811878181545,0.819200983291858,0.819200983291858,0.827158564613599,0.827158564613599,0.827158564613599,0.129233815536165,0.129233815536165,0.774987246641074,0.723614781358179,0.723614781358179,0.176033241088434,0.176033241088434,0.800984329914507,0.800984329914507,0.800984329914507,0.200422686711942,0.881036181161853,0.854813088248743,0.445838341542751,0.00117353818015547,0.0562437485573594,3,0,0.285847276929951,5.64537183585027,37.0824034274418,-0.246008672611851,0.200023703572887,-0.0955945878623559,-0.0955945664127426,-0.0955945664127426,0.0836271608167933,0.0836271030129188,0.0836271030129188,0.56280101442353,0.562801015694423,0.562801015694423,9.03082256960664e-28,9.0310674193861e-28,9.0310674193861e-28,1.30101457731701e-21,1.30109776248637e-21,1.30109776248637e-21,0,0,0,0.313236094701812,-0.313128968814431,-0.240300872897991,0.240473609939238,-0.506931484303057,0.503119969383485,-0.920009413914596,-0.920388234180231,-0.920388234180231,0.915870060290585,0.916193039936388,0.916193039936388,3.19472711864553e-05,3.21574830120392e-05,0.00159726771566912,0.00158451077074506,1.74042686168598e-12,2.70597678601769e-12,3.0000773385554e-70,2.04633565653551e-70,2.04633565653551e-70,1.74145614589918e-68,1.2781736018113e-68,1.2781736018113e-68,"squamate"
"squamate_clade_12",4,0.479637159440055,0.0833333333333335,0.457710019359969,207.476040363312,41.4137387731559,0.595841194435509,2.07514640081047,1.666764897,0.516243364582171,0.296640984215105,1.81580136216982,2.75,2.87228132326901,1.06594919800219,2.25497398224671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"squamate"
